UID,iso3,Admin2,Province_State,Lat,Long_,Population
288,GHA,NUL,,7.9465,-1.0232,31072945
300,GRC,NUL,,39.0742,21.8243,10423056
308,GRD,NUL,,12.1165,-61.679,112519
320,GTM,NUL,,15.7835,-90.2308,17915567
324,GIN,NUL,,9.9456,-9.6966,13132792
624,GNB,NUL,,11.8037,-15.1804,1967998
328,GUY,NUL,,4.860416,-58.93018,786559
332,HTI,NUL,,18.9712,-72.2852,11402533
336,VAT,NUL,,41.9029,12.4534,809
340,HND,NUL,,15.2,-86.2419,9904608
348,HUN,NUL,,47.1625,19.5033,9660350
352,ISL,NUL,,64.9631,-19.0208,341250
356,IND,NUL,,20.593684,78.96288,1380004385
35601,IND,NUL,Andaman and Nicobar Islands,11.225999,92.968178,417036
35602,IND,NUL,Andhra Pradesh,15.9129,79.74,53903393
35603,IND,NUL,Arunachal Pradesh,27.768456,96.384277,1570458
35604,IND,NUL,Assam,26.357149,92.830441,35607039
35605,IND,NUL,Bihar,25.679658,85.60484,124799926
35606,IND,NUL,Chandigarh,30.733839,76.768278,1158473
35607,IND,NUL,Chhattisgarh,21.264705,82.035366,29436231
35608,IND,NUL,Dadra and Nagar Haveli and Daman and Diu,20.194742,73.080901,615724
35609,IND,NUL,Delhi,28.646519,77.10898,18710922
35610,IND,NUL,Goa,15.359682,74.057396,1586250
35611,IND,NUL,Gujarat,22.694884,71.590923,63872399
35612,IND,NUL,Haryana,29.20004,76.332824,28204692
35613,IND,NUL,Himachal Pradesh,31.927213,77.233081,7451955
35614,IND,NUL,Jammu and Kashmir,33.75943,76.612638,13606320
35615,IND,NUL,Jharkhand,23.654536,85.557631,38593948
35616,IND,NUL,Karnataka,14.70518,76.166436,67562686
35617,IND,NUL,Kerala,10.450898,76.405749,35699443
35618,IND,NUL,Ladakh,34.1526,77.5771,274289
35619,IND,NUL,Madhya Pradesh,23.541513,78.289633,85358965
35620,IND,NUL,Maharashtra,19.449759,76.108221,123144223
35621,IND,NUL,Manipur,24.738975,93.882541,3091545
35622,IND,NUL,Meghalaya,25.536934,91.278882,3366710
35623,IND,NUL,Mizoram,23.309381,92.83822,1239244
35624,IND,NUL,Nagaland,26.06702,94.470302,2249695
35625,IND,NUL,Odisha,20.505428,84.418059,46356334
35626,IND,NUL,Puducherry,11.882658,78.86498,1413542
35627,IND,NUL,Punjab,30.841465,75.40879,30141373
35628,IND,NUL,Rajasthan,26.583423,73.847973,81032689
35629,IND,NUL,Sikkim,27.571671,88.472712,690251
35630,IND,NUL,Tamil Nadu,11.006091,78.400624,77841267
35631,IND,NUL,Telangana,18.1124,79.0193,39362732
35632,IND,NUL,Tripura,23.746783,91.743565,4169794
35633,IND,NUL,Uttar Pradesh,26.925425,80.560982,237882725
35634,IND,NUL,Uttarakhand,30.156447,79.197608,11250858
35635,IND,NUL,West Bengal,23.814082,87.979803,99609303
35636,IND,NUL,Unknown,,,0
35637,IND,NUL,Lakshadweep,13.6999972,72.1833326,64429
360,IDN,NUL,,-0.7893,113.9213,273523621
364,IRN,NUL,,32.427908,53.688046,83992953
368,IRQ,NUL,,33.223191,43.679291,40222503
372,IRL,NUL,,53.1424,-7.6921,4937796
376,ISR,NUL,,31.046051,34.851612,8655541
380,ITA,NUL,,41.87194,12.56738,60461828
38013,ITA,NUL,Abruzzo,42.35122196,13.39843823,1311580
38017,ITA,NUL,Basilicata,40.63947052,15.80514834,562869
38018,ITA,NUL,Calabria,38.90597598,16.59440194,1947131
38015,ITA,NUL,Campania,40.83956555,14.25084984,5801692
38008,ITA,NUL,Emilia-Romagna,44.49436681,11.3417208,4459477
38006,ITA,NUL,Friuli Venezia Giulia,45.6494354,13.76813649,1215220
38012,ITA,NUL,Lazio,41.89277044,12.48366722,5879082
38007,ITA,NUL,Liguria,44.41149315,8.9326992,1550640
38003,ITA,NUL,Lombardia,45.46679409,9.190347404,10060574
38011,ITA,NUL,Marche,43.61675973,13.5188753,1525271
38014,ITA,NUL,Molise,41.55774754,14.65916051,305617
38041,ITA,NUL,P.A. Bolzano,46.49933453,11.35662422,532318
38042,ITA,NUL,P.A. Trento,46.06893511,11.12123097,541418
38001,ITA,NUL,Piemonte,45.0732745,7.680687483,4356406
38016,ITA,NUL,Puglia,41.12559576,16.86736689,4029053
38020,ITA,NUL,Sardegna,39.21531192,9.110616306,1639591
38019,ITA,NUL,Sicilia,38.11569725,13.3623567,4999891
38009,ITA,NUL,Toscana,43.76923077,11.25588885,3729641
38010,ITA,NUL,Umbria,43.10675841,12.38824698,882015
38002,ITA,NUL,Valle d'Aosta,45.73750286,7.320149366,125666
38005,ITA,NUL,Veneto,45.43490485,12.33845213,4905854
388,JAM,NUL,,18.1096,-77.2975,2961161
392,JPN,NUL,,36.204824,138.252924,126476458
39201,JPN,NUL,Aichi,35.035551,137.211621,7552239
39202,JPN,NUL,Akita,39.748679,140.408228,966490
39203,JPN,NUL,Aomori,40.781541,140.828896,1246371
39204,JPN,NUL,Chiba,35.510141,140.198917,6259382
39205,JPN,NUL,Ehime,33.624835,132.856842,1339215
39206,JPN,NUL,Fukui,35.846614,136.224654,767937
39207,JPN,NUL,Fukuoka,33.526032,130.666949,5103679
39208,JPN,NUL,Fukushima,37.378867,140.223295,1845519
39209,JPN,NUL,Gifu,35.778671,137.055925,1986587
39210,JPN,NUL,Gunma,36.504479,138.985605,1942456
39211,JPN,NUL,Hiroshima,34.605309,132.788719,2804177
39212,JPN,NUL,Hokkaido,43.385711,142.552318,5250049
39213,JPN,NUL,Hyogo,35.039913,134.828057,5466190
39214,JPN,NUL,Ibaraki,36.303588,140.319591,2860307
39215,JPN,NUL,Ishikawa,36.769464,136.771027,1137649
39216,JPN,NUL,Iwate,39.593287,141.361777,1226816
39217,JPN,NUL,Kagawa,34.217292,133.969047,956347
39218,JPN,NUL,Kagoshima,31.009484,130.430665,1602273
39219,JPN,NUL,Kanagawa,35.415312,139.338983,9198268
39220,JPN,NUL,Kochi,33.422519,133.367307,698029
39221,JPN,NUL,Kumamoto,32.608154,130.745231,1747567
39222,JPN,NUL,Kyoto,35.253815,135.443341,2582957
39223,JPN,NUL,Mie,34.508018,136.376013,1780882
39224,JPN,NUL,Miyagi,38.446859,140.927086,2306365
39225,JPN,NUL,Miyazaki,32.193204,131.299374,1073301
39226,JPN,NUL,Nagano,36.132134,138.045528,2048790
39227,JPN,NUL,Nagasaki,33.235712,129.608033,1326524
39228,JPN,NUL,Nara,34.317451,135.871644,1330123
39229,JPN,NUL,Niigata,37.521819,138.918647,2223106
39230,JPN,NUL,Oita,33.200697,131.43324,1135434
39231,JPN,NUL,Okayama,34.89246,133.826252,1889586
39232,JPN,NUL,Okinawa,25.768923,126.668016,1453168
39233,JPN,NUL,Osaka,34.620965,135.507481,8809363
39234,JPN,NUL,Saga,33.286977,130.115738,814711
39235,JPN,NUL,Saitama,35.997101,139.347635,7349693
39236,JPN,NUL,Shiga,35.215827,136.138064,1413943
39237,JPN,NUL,Shimane,35.07076,132.554064,674346
39238,JPN,NUL,Shizuoka,34.916975,138.407784,3643528
39239,JPN,NUL,Tochigi,36.689912,139.819213,1933990
39240,JPN,NUL,Tokushima,33.919178,134.242091,727977
39241,JPN,NUL,Tokyo,35.711343,139.446921,13920663
39242,JPN,NUL,Tottori,35.359069,133.863619,555558
39243,JPN,NUL,Toyama,36.637464,137.269346,1043502
39244,JPN,NUL,Wakayama,33.911879,135.505446,924933
39245,JPN,NUL,Yamagata,38.448396,140.102154,1077666
39246,JPN,NUL,Yamaguchi,34.20119,131.573293,1358336
39247,JPN,NUL,Yamanashi,35.612364,138.611489,810956
39248,JPN,NUL,Port Quarantine,,,0
39249,JPN,NUL,Unknown,,,0
400,JOR,NUL,,31.24,36.51,10203140
398,KAZ,NUL,,48.0196,66.9237,18776707
404,KEN,NUL,,-0.0236,37.9062,53771300
296,KIR,NUL,,-3.3704,-168.734,117606
410,KOR,NUL,,35.907757,127.766922,51269183
383,XKS,NUL,,42.602636,20.902977,1810366
414,KWT,NUL,,29.31166,47.481766,4270563
417,KGZ,NUL,,41.20438,74.766098,6524191
418,LAO,NUL,,19.85627,102.495496,7275556
428,LVA,NUL,,56.8796,24.6032,1886202
422,LBN,NUL,,33.8547,35.8623,6825442
426,LSO,NUL,,-29.61,28.2336,2142252
430,LBR,NUL,,6.428055,-9.429499,5057677
434,LBY,NUL,,26.3351,17.228331,6871287
438,LIE,NUL,,47.14,9.55,38137
440,LTU,NUL,,55.1694,23.8813,2722291
442,LUX,NUL,,49.8153,6.1296,625976
450,MDG,NUL,,-18.766947,46.869107,27691019
454,MWI,NUL,,-13.2543,34.3015,19129955
458,MYS,NUL,,4.210484,101.975766,32365998
45801,MYS,NUL,Johor,1.4854,103.7618,3768200
45802,MYS,NUL,Kedah,6.1184,100.3685,2185900
45803,MYS,NUL,Kelantan,6.1254,102.2381,1892200
45804,MYS,NUL,Melaka,2.1896,102.2501,932700
45805,MYS,NUL,Negeri Sembilan,2.7258,101.9424,1132100
45806,MYS,NUL,Pahang,3.8126,103.3256,1677100
45807,MYS,NUL,Perak,4.5921,101.0901,2514300
45808,MYS,NUL,Perlis,6.4449,100.2048,254600
45809,MYS,NUL,Pulau Pinang,5.4141,100.3288,1777600
45810,MYS,NUL,Sabah,5.9788,116.0753,3904700
45811,MYS,NUL,Sarawak,1.5533,110.3592,2818100
45812,MYS,NUL,Selangor,3.0738,101.5183,6541900
45813,MYS,NUL,Terengganu,5.3117,103.1324,1250100
45814,MYS,NUL,W.P. Kuala Lumpur,3.139,101.6869,1778400
45815,MYS,NUL,W.P. Labuan,5.2831,115.2308,99400
45816,MYS,NUL,W.P. Putrajaya,2.9264,101.6964,105400
45817,MYS,NUL,Unknown,,,0
462,MDV,NUL,,3.2028,73.2207,540542
466,MLI,NUL,,17.570692,-3.996166,20250834
470,MLT,NUL,,35.9375,14.3754,441539
584,MHL,NUL,,7.1315,171.1845,58413
478,MRT,NUL,,21.0079,-10.9408,4649660
480,MUS,NUL,,-20.348404,57.552152,1271767
484,MEX,NUL,,23.6345,-102.5528,127792286
48401,MEX,NUL,Aguascalientes,21.8853,-102.2916,1434635
48402,MEX,NUL,Baja California,30.8406,-115.2838,3634868
48403,MEX,NUL,Baja California Sur,26.0444,-111.6661,804708
48404,MEX,NUL,Campeche,19.8301,-90.5349,1000617
48405,MEX,NUL,Chiapas,16.7569,-93.1292,5730367
48406,MEX,NUL,Chihuahua,28.633,-106.0691,3801487
48407,MEX,NUL,Ciudad de Mexico,19.4326,-99.1332,9018645
48408,MEX,NUL,Coahuila,27.0587,-101.7068,3218720
48409,MEX,NUL,Colima,19.1223,-104.0072,785153
48410,MEX,NUL,Durango,24.5593,-104.6588,1868996
48411,MEX,NUL,Guanajuato,21.019,-101.2574,6228175
48412,MEX,NUL,Guerrero,17.4392,-99.5451,3657048
48413,MEX,NUL,Hidalgo,20.0911,-98.7624,3086414
48414,MEX,NUL,Jalisco,20.6595,-103.3494,8409693
